id,name,version,type,issuesCritical,issuesHigh,issuesMedium,issuesLow,dependenciesWithIssues,licenses,projects,license urls,latestVersion,latestVersionPublishedDate,firstPublishedDate,isDeprecated,copyright
github.com/nats-io/nuid@1.0.1,github.com/nats-io/nuid,1.0.1,golang,0,0,0,0,,Apache-2.0,"github.com/dislinkt/auth_service:go.mod, github.com/dislinkt/connection_service:go.mod, post_service:go.mod, github.com/dislinkt/user_service:go.mod, github.com/dislinkt/additional_user_service:go.mod",https://app.snyk.io/vuln/snyk:lic:Apache-2.0,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/db@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/db,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/dbtype@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/dbtype,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/bolt@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/bolt,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/connector@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/connector,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/packstream@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/packstream,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/pool@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/pool,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/racingio@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/racingio,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/retry@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/retry,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/router@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/internal/router,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
github.com/neo4j/neo4j-go-driver/v4/neo4j/log@4.4.2,github.com/neo4j/neo4j-go-driver/v4/neo4j/log,4.4.2,golang,0,0,0,0,,,github.com/dislinkt/connection_service:go.mod,,,,,,[]
